"Colegio","Barrio","Distrito","Latitud","Longitud","Plazas_2012.2013","Plazas_2013.2014","Plazas_2014.2015","Plazas_2015.2016","Plazas_2016.2017","Admisiones_2012.2013","Solicitudes_2012.2013","Admisiones_2013.2014","Solicitudes_2013.2014","Admisiones_2014.2015","Solicitudes_2014.2015","Admisiones_2015.2016","Solicitudes_2015.2016","Admisiones_2016.2017","Solicitudes_2016.2017","PobxBarrio_2012.2013","PobxBarrio_2013.2014","PobxBarrio_2014.2015","PobxBarrio_2015.2016","PobxBarrio_2016.2017","PobxBarrio_2017.2018","Admisiones_2017.2018","Solicitudes_2017.2018"
"Claudio Moyano","VALLEHERMOSO","Chamberí",40.4389650923,-3.70883535886,131,129,146,140,146,7,7,5,6,7,7,0,1,1,1,896,864,870,835,864,880,0.984943073646898,2.20933206963429
"Complejo Escolar Príncipe Felipe","LA PAZ","Fuencarral - El Pardo",40.4802198707,-3.7010104733,188,201,206,204,198,8,12,3,14,18,50,8,48,24,42,1258,1226,1231,1245,1246,1324,10.7915567727863,39.773001702545
"Concepción Arenal","COMILLAS","Carabanchel",40.3975884,-3.7149922,278,279,294,303,296,22,23,11,11,11,11,8,10,6,10,898,893,922,936,933,928,5.98001279181879,10.41732732294
"Concha Espina","PALOMERAS SURESTE","Puente de Vallecas",40.3857768278,-3.64395011918,179,169,153,143,153,0,1,2,2,3,3,2,5,2,2,2240,2253,2269,2300,2280,2248,1.56801748660149,2.91036692681146
"Conde de Romanones","QUINTANA","Ciudad Lineal",40.4374798611,-3.64233263817,183,180,174,167,179,7,7,14,14,8,8,2,4,1,3,985,1021,1050,1053,1042,1057,1.87207116125561,4.91194358490673
"Cortes de Cádiz","VALDEFUENTES","Hortaleza",40.4989343286,-3.65601790796,0,0,101,205,310,NA,NA,NA,NA,5,5,3,16,2,33,3861,4140,4400,4746,5271,5661,NA,NA
"Costa Rica","ALUCHE","Latina",40.3855040335,-3.75598966441,211,193,190,186,193,5,5,5,5,4,5,3,3,3,3,2752,2758,2833,2798,2857,2856,2.51161498572959,3.56787523131475
"Cristóbal Colón","SAN ANDRES","Villaverde",40.3503508,-3.70605797468,354,379,408,422,461,2,9,0,7,1,7,0,12,0,13,2596,2637,2716,2764,2800,2837,0,10.5174566792124
"Cuba","ALUCHE","Latina",40.3950901436,-3.76141107126,191,168,156,130,118,4,5,9,9,2,3,0,1,2,2,2752,2758,2833,2798,2857,2856,1.00575432429194,2.31316996848143
"Dámaso Alonso","SAN ANDRES","Villaverde",40.3460447139,-3.70895673021,158,160,154,153,152,6,8,4,5,3,10,3,12,2,5,2596,2637,2716,2764,2800,2837,1.65491790378226,7.60022347121527
"Daniel Vázquez Díaz","VALDEZARZA","Moncloa - Aravaca",40.4647771119,-3.71302269425,138,149,152,154,154,2,2,2,2,3,21,1,20,0,14,1360,1378,1409,1404,1372,1357,0,14.0010004585456
"Dionisio Ridruejo","PINAR DEL REY","Hortaleza",40.4730183544,-3.63454315614,143,125,128,125,125,1,2,5,5,1,1,2,4,2,3,2490,2535,2584,2539,2557,2514,1.32261547572149,2.92190940129137
"Doctor Conde Arruga","VINATEROS","Moratalaz",40.4038241047,-3.64357997378,218,215,238,265,292,4,15,4,12,6,10,3,8,1,2,703,712,753,735,763,782,2.12723821694197,5.59439197254309
"Doctor Federico Rubio","BELLAS VISTAS","Tetuán",40.4524271206,-3.71134722929,111,122,119,116,132,3,3,4,4,2,2,1,1,4,4,1244,1307,1337,1383,1364,1294,1.78342101070768,2.5036187337809
"Doctor Severo Ochoa","AMBROZ","Vicálvaro",40.4103110308,-3.61368210619,346,323,315,310,289,8,10,6,9,10,11,4,8,1,2,897,919,969,1002,1054,1070,2.43316694928632,5.486783834927
"Doctor Tolosa Latour","PALOMERAS SURESTE","Puente de Vallecas",40.3820038126,-3.64200568094,298,289,315,321,315,5,13,6,9,6,8,1,6,1,6,2240,2253,2269,2300,2280,2248,1.21926180763335,6.72568525949097
"Eduardo Rojo","PALOMERAS BAJAS","Puente de Vallecas",40.3874270668,-3.66280503333,248,233,230,240,266,5,5,3,4,3,3,4,4,17,20,2550,2433,2317,2198,2120,2061,5.5690219078653,7.58267357041414
"EEUU - Huarte de San Juan","CASA DE CAMPO","Moncloa - Aravaca",40.4287017947,-3.73370855742,76,89,84,82,97,2,2,20,20,5,5,1,1,2,2,578,555,522,494,464,437,2.08915206465288,2.93070532227657
"El Espinillo","LOS ROSALES","Villaverde",40.3615724122,-3.69327885016,462,470,490,489,492,1,14,0,11,1,15,1,17,0,17,2387,2401,2401,2426,2412,2312,0,15.8052267612643
"El Greco","BUTARQUE","Villaverde",40.3454822012,-3.67498127964,494,580,634,661,641,6,18,6,26,8,22,3,13,0,19,1278,1473,1653,1808,1936,2072,1.10301454006587,18.1361341490608
"El Madroño","NUMANCIA","Puente de Vallecas",40.4022043001,-3.65448872295,112,123,120,116,117,4,4,2,2,5,5,2,2,2,3,2298,2301,2341,2375,2372,2366,1.69038434957686,2.90311829712865
"El Quijote","CASCO H.VALLECAS","Villa de Vallecas",40.3749051125,-3.62380936129,332,329,327,334,326,0,44,0,29,7,29,0,33,0,31,4656,4947,5295,5566,6055,6485,0.331177553871502,31.0814139280583
"El Sol","ARCOS","San Blas - Canillejas",40.4239973823,-3.61168458648,580,573,531,514,493,8,13,13,18,7,7,17,21,12,15,1809,1802,1775,1643,1563,1528,10.2024096721816,14.6163652500819
"Emilia Pardo Bazán","EMBAJADORES","Centro",40.4067780349,-3.70552769637,97,97,106,110,129,4,4,5,5,2,6,1,4,5,9,1361,1422,1503,1512,1498,1462,1.80572142000687,6.16789524450001
"Ermita del Santo","PUERTA DEL ANGEL","Latina",40.4109198479,-3.72340306876,290,283,278,287,287,3,3,8,10,12,15,4,9,7,19,1827,1819,1863,1854,1910,1838,4.74939480148871,13.3946470615332
"Escuelas Aguirre","NIÑO JESUS","Retiro",40.4145497025,-3.67435086048,308,307,305,303,298,4,9,7,14,6,22,4,15,3,14,813,800,815,840,817,857,2.82642044419309,15.5761997320063
"Escuelas Bosque","VALDEZARZA","Moncloa - Aravaca",40.4589873398,-3.71253688173,287,295,302,300,293,6,13,8,16,11,15,4,13,2,17,1360,1378,1409,1404,1372,1357,2.77872755750526,15.1837059605261
"Esperanza","CANILLAS","Hortaleza",40.4614426338,-3.64578080791,249,261,268,273,280,7,7,9,9,8,10,4,7,10,17,1918,1899,1918,1902,1881,1865,5.39801762345461,11.0034042255796
"Eugenio María de Hostos","VALDEZARZA","Moncloa - Aravaca",40.4691620845,-3.71777571781,228,243,287,321,319,9,11,6,12,9,11,4,8,7,8,1360,1378,1409,1404,1372,1357,4.95229756343055,8.9612356725463
"Felipe II","ALMENARA","Tetuán",40.4729057017,-3.69934183889,128,115,112,114,126,3,3,2,2,4,5,3,3,NA,NA,1040,1024,981,975,992,1014,NA,NA
"Fernández de Moratín","CASA DE CAMPO","Moncloa - Aravaca",40.4267332186,-3.72730948445,262,242,232,232,227,7,9,5,5,5,5,5,5,4,4,578,555,522,494,464,437,3.63737378756221,4.63405996588439
"Fernando el Católico","ARAPILES","Chamberí",40.4341036895,-3.70973929433,127,137,163,183,207,3,3,5,6,8,8,6,6,7,8,941,929,939,920,921,924,5.27346673747397,7.06315129570197
"Filósofo Séneca","PINAR DEL REY","Hortaleza",40.478381552,-3.6502374704,109,107,111,120,132,1,1,4,4,3,3,6,6,1,1,2490,2535,2584,2539,2557,2514,2.02679890373648,2.77049583481767
"Fontarrón","PAVONES","Moratalaz",40.3951135128,-3.63357557022,272,265,279,264,259,9,12,5,6,6,8,6,6,3,3,532,544,531,475,478,447,3.65218057995358,5.02589218652736
"Francisco Arranz","LAS AGUILAS","Latina",40.3749289516,-3.76260941478,283,286,298,302,307,2,6,6,22,2,17,3,22,1,31,2437,2438,2485,2466,2439,2387,0.892723701002197,23.5359256999648
"Francisco de Goya","PUERTA DEL ANGEL","Latina",40.4111896128,-3.72779034086,115,103,120,122,129,6,6,3,3,11,11,2,2,2,4,1827,1819,1863,1854,1910,1838,2.19844788258911,4.12129445616163
"Francisco de Luis","MEDIA LEGUA","Moratalaz",40.4088380164,-3.66029256578,74,88,97,97,100,2,2,5,5,3,3,0,0,1,1,771,781,774,803,755,739,0.691263469674169,1.24100089122572
"Francisco de Quevedo","PACIFICO","Retiro",40.4047276921,-3.67933210662,95,85,90,97,106,2,2,2,2,5,5,4,4,0,1,1403,1410,1378,1329,1328,1291,1.10717040633386,2.50821282749407
"Francisco Fatóu","CASCO H.VALLECAS","Villa de Vallecas",40.3759790329,-3.6184358604,313,328,305,306,316,4,9,3,15,4,12,0,7,1,8,4656,4947,5295,5566,6055,6485,0.526160924528285,8.98759294800564
"Francisco Ruano","ENTREVIAS","Puente de Vallecas",40.3800856374,-3.6735476485,137,144,143,138,127,8,11,3,6,5,10,0,4,3,3,1920,1874,1888,1907,1867,1882,1.3967380759908,4.69043220022031
"Fray Junípero Serra","NUMANCIA","Puente de Vallecas",40.3953095453,-3.65815724393,332,307,315,310,308,5,9,8,16,10,27,10,18,13,18,2298,2301,2341,2375,2372,2366,9.07010406137302,19.135592696215
"Gabriela Mistral","VALVERDE","Fuencarral - El Pardo",40.5077420613,-3.66755252701,374,378,366,344,325,17,26,7,17,7,12,9,22,1,16,3919,4312,4790,5169,5600,6012,2.55380096899483,16.8420745593606
"Gandhi","PUEBLO NUEVO","Ciudad Lineal",40.4237462616,-3.63650827804,169,164,154,143,151,NA,NA,3,3,0,5,2,4,1,2,2936,2871,2928,2875,2881,2935,NA,NA
