Colegio,Distrito,Latitud,Longitud,Admisiones_p,Color
Julián Marías,San Blas - Canillejas,40.4271443275,-3.60257676981,33.3,#e7ad99
Mariano José de Larra,San Blas - Canillejas,40.4306153281,-3.60897403379,26.3,#e7ad99
Álvaro de Bazan,San Blas - Canillejas,40.4215433105,-3.60724192162,37.5,#e7ad99
La Alameda,San Blas - Canillejas,40.437537235,-3.60841158119,-1.0,#000000
Padre Coloma,San Blas - Canillejas,40.4484849631,-3.61489005717,0.0,#f18477
Legado Crespo,Arganzuela,40.4048058643,-3.70391614612,81.8,#7b5a3c
San Eugenio y San Isidro,Arganzuela,40.4021347158,-3.70316947249,50.0,#e7ad99
Lope de Vega,Carabanchel,40.3946054626,-3.7232402249,-1.0,#000000
Miguel Servet,Carabanchel,40.3940963714,-3.73680878654,13.6,#ecc8af
Luis Bello,Chamartín,40.4436806015,-3.67354527263,100.0,#495867
Manuel Sáinz de Vicuña,Moratalaz,40.4094369606,-3.64998593265,52.6,#c18c5d
Pasamonte,Moratalaz,40.4122677609,-3.64803308855,50.0,#e7ad99
Marcelo Usera,Usera,40.3871562007,-3.69960873366,0.0,#f18477
Nuestra Señora de la Fuencisla,Usera,40.3802003664,-3.69825268858,0.0,#f18477
Marqués de Suanzes,San Blas - Canillejas,40.4430907873,-3.62455717055,64.3,#c18c5d
Menéndez Pelayo,Arganzuela,40.4055751031,-3.69139669544,25.0,#ecc8af
Menéndez Pidal,Moratalaz,40.4005402439,-3.64115651744,63.6,#c18c5d
Real Armada,Moratalaz,40.4017049241,-3.64556313171,37.5,#e7ad99
Miguel de Unamuno,Arganzuela,40.3942833118,-3.69347283089,42.1,#e7ad99
Monte de El Pardo,Fuencarral - El Pardo,40.5171572686,-3.7742643107,50.0,#e7ad99
Méndez Núñez,Hortaleza,40.4789769486,-3.65963430597,100.0,#495867
Nuestra Señora de la Almudena,Retiro,40.4190156144,-3.67787272233,80.0,#7b5a3c
Nuestra Señora de la Concepción,Ciudad Lineal,40.4371484214,-3.65005228804,100.0,#495867
San Benito,Ciudad Lineal,40.4442650726,-3.6469252698,0.0,#f18477
Nuestra Señora de la Paloma,Centro,40.4110845197,-3.71138315098,11.1,#ecc8af
San Ildefonso,Centro,40.4130796824,-3.71217027214,80.0,#7b5a3c
Vázquez de Mella,Centro,40.4120954295,-3.7139985335,83.3,#7b5a3c
Nuestra Señora del Lucero,Latina,40.4024206807,-3.74104766559,25.0,#ecc8af
República de Uruguay,Latina,40.3934735007,-3.74123236056,17.4,#ecc8af
Padre Poveda,Chamartín,40.451218875,-3.66772403678,64.7,#c18c5d
Palacio Valdés,Centro,40.4105569975,-3.69292091402,100.0,#495867
Patriarca Obispo Eijo y Garay,Chamartín,40.4396963472,-3.68161769683,66.7,#c18c5d
Pintor Rosales,Chamartín,40.4446237951,-3.67863696871,100.0,#495867
Ramiro de Maeztu,Chamartín,40.442092981,-3.68614621528,0.0,#f18477
Perú,Carabanchel,40.3937935566,-3.71326316581,0.0,#f18477
Concepción Arenal,Carabanchel,40.3975884,-3.7149922,60.0,#c18c5d
Pi I Margall,Centro,40.4267928878,-3.70458150498,100.0,#495867
Portugal,Moncloa - Aravaca,40.4249186518,-3.71491214478,100.0,#495867
Pradolongo,Usera,40.378930663,-3.71583943805,0.0,#f18477
República de Venezuela,Usera,40.3835840227,-3.71362671196,33.3,#e7ad99
Reina Victoria,Salamanca,40.4335006079,-3.67966874739,20.0,#ecc8af
República de Brasil,Usera,40.3704393979,-3.6899302716,0.0,#f18477
República de Ecuador,Carabanchel,40.387610836,-3.72525078822,11.8,#ecc8af
Rufino Blanco,Chamberí,40.4382112129,-3.70246046126,40.0,#e7ad99
San Juan Bautista,Ciudad Lineal,40.4511607163,-3.65902023952,0.0,#f18477
Tirso de Molina,Arganzuela,40.3922430247,-3.68814969139,41.2,#e7ad99
Plácido Domingo,Arganzuela,40.3972934,-3.6781883,42.9,#e7ad99
