,Colegio,Distrito,Latitud,Longitud,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2012-2013 Admitidas,2012-2013 Presentadas,2013-2014 Admitidas,2013-2014 Presentadas,2014-2015 Admitidas,2014-2015 Presentadas,2015-2016 Admitidas,2015-2016 Presentadas,2016-2017 Admitidas,2016-2017 Presentadas
145,Maestro Padilla,CARABANCHEL,40.3626409159,-3.74737215976,0.0,43.0,146.0,248.0,353.0,,,3.0,3.0,2.0,7.0,2.0,9.0,6.0,26.0
146,Manuel Bartolomé Cossío,LATINA,40.381354986,-3.77172949655,293.0,295.0,296.0,293.0,295.0,2.0,13.0,2.0,13.0,0.0,12.0,2.0,11.0,1.0,16.0
147,Manuel Núñez de Arenas,PUENTE DE VALLECAS,40.3752528307,-3.66174334696,110.0,88.0,73.0,85.0,106.0,,,2.0,2.0,1.0,1.0,1.0,1.0,15.0,15.0
148,Manuel Sáinz de Vicuña,MORATALAZ,40.4094369606,-3.64998593265,442.0,446.0,439.0,441.0,440.0,10.0,13.0,21.0,30.0,4.0,16.0,10.0,12.0,10.0,19.0
149,Manuel de Falla,VILLAVERDE,40.3462549882,-3.70550895275,163.0,160.0,150.0,149.0,157.0,2.0,6.0,2.0,6.0,6.0,12.0,4.0,10.0,2.0,5.0
150,Marcelo Usera,USERA,40.3871562007,-3.69960873366,150.0,147.0,160.0,163.0,157.0,2.0,2.0,6.0,6.0,7.0,7.0,2.0,4.0,0.0,3.0
151,Margaret Thatcher,BARAJAS,40.4704771976,-3.590459755,,0.0,0.0,0.0,24.0,,,,,,,,,5.0,5.0
152,Mariano José de Larra,SAN BLAS-CANILLEJAS,40.4306153281,-3.60897403379,413.0,413.0,421.0,429.0,439.0,2.0,14.0,7.0,14.0,6.0,11.0,6.0,10.0,5.0,19.0
153,Marqués de Marcenado,ARGANZUELA,40.4103704921,-3.72048608485,103.0,99.0,103.0,122.0,129.0,6.0,6.0,4.0,4.0,9.0,9.0,4.0,4.0,4.0,4.0
154,Marqués de Suanzes,SAN BLAS-CANILLEJAS,40.4430907873,-3.62455717055,460.0,469.0,462.0,441.0,437.0,6.0,25.0,12.0,21.0,2.0,11.0,1.0,14.0,9.0,14.0
155,Martínez Montañés,MORATALAZ,40.4019135421,-3.63391036022,179.0,173.0,164.0,154.0,141.0,1.0,2.0,7.0,7.0,4.0,9.0,3.0,5.0,4.0,5.0
156,María Moliner,SAN BLAS-CANILLEJAS,40.4221740208,-3.6191180462,430.0,421.0,423.0,406.0,386.0,14.0,15.0,8.0,11.0,6.0,6.0,12.0,13.0,5.0,5.0
157,Menéndez Pelayo,ARGANZUELA,40.4055751031,-3.69139669544,327.0,266.0,291.0,305.0,286.0,10.0,10.0,0.0,4.0,12.0,14.0,9.0,9.0,2.0,8.0
158,Menéndez Pidal,MORATALAZ,40.4005402439,-3.64115651744,205.0,179.0,160.0,147.0,154.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,1.0,7.0,11.0
159,Meseta de Orcasitas,USERA,40.371945354,-3.71052379889,434.0,443.0,453.0,432.0,453.0,2.0,11.0,6.0,15.0,9.0,11.0,2.0,11.0,0.0,7.0
160,Mesonero Romanos,PUENTE DE VALLECAS,40.3936844307,-3.64437893119,279.0,276.0,270.0,279.0,284.0,5.0,13.0,5.0,8.0,6.0,9.0,2.0,5.0,3.0,5.0
161,Miguel Blasco Vilatela,CIUDAD LINEAL,40.4293465714,-3.63218728824,299.0,293.0,321.0,318.0,336.0,7.0,17.0,15.0,19.0,9.0,13.0,3.0,15.0,6.0,16.0
162,Miguel Servet,CARABANCHEL,40.3940963714,-3.73680878654,294.0,301.0,320.0,303.0,306.0,4.0,18.0,12.0,19.0,9.0,31.0,0.0,12.0,3.0,22.0
163,Miguel de Unamuno,ARGANZUELA,40.3942833118,-3.69347283089,564.0,561.0,570.0,570.0,571.0,15.0,30.0,8.0,16.0,12.0,24.0,13.0,19.0,8.0,19.0
164,Mirasierra,FUENCARRAL-EL PARDO,40.4911390355,-3.7141984472,415.0,410.0,410.0,429.0,430.0,9.0,9.0,19.0,21.0,13.0,13.0,17.0,22.0,14.0,33.0
165,Monte de El Pardo,FUENCARRAL-EL PARDO,40.5171572686,-3.7742643107,128.0,132.0,131.0,137.0,143.0,1.0,1.0,6.0,6.0,3.0,3.0,1.0,1.0,1.0,2.0
166,Méjico (México),CIUDAD LINEAL,40.4434865151,-3.65080904918,93.0,88.0,99.0,109.0,110.0,9.0,9.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0
167,Méndez Núñez,HORTALEZA,40.4789769486,-3.65963430597,93.0,83.0,87.0,88.0,95.0,9.0,9.0,5.0,5.0,5.0,5.0,7.0,7.0,3.0,3.0
168,Navas de Tolosa,VILLAVERDE,40.3443404473,-3.68529600432,291.0,310.0,282.0,255.0,260.0,2.0,3.0,6.0,6.0,3.0,3.0,0.0,2.0,2.0,3.0
